|context_id|context|question|answer|answer_start|answer_end
189|171|Growth makes a lot of things more difficult people dont know each other as well, information is harder to find, stuff gets lost, communication becomes muddled, it becomes harder to stay on top of everything thats going on, etc. What worked for 3 or 5 people, doesnt work as well at 6 or 8. And certainly not 10, 15, 25 or more.|At what number does growth make things more difficult for a group of people?|6 or 8|282|289
190|172|At some point, growing small businesses need a system, something to stay organized, something to grow with so they dont lose control of themselves along the way. Company-wide communication, team-based communication, and project work needs a home.|How do small businesses stay organized?|a system|45|54
191|172|At some point, growing small businesses need a system, something to stay organized, something to grow with so they dont lose control of themselves along the way. Company-wide communication, team-based communication, and project work needs a home.|How do small businesses grow?|something to grow with|84|106
192|173|Most companies cobble together a latticework of separate tools as they grow, but the weight of disorganization and lack of order collapses and eventually catches up to them. Email doesnt cut it anymore. More meetings arent going to solve the problem. And increasingly, incessant chatting creates exponentially more communication without the necessary structure and context to make it useful.|What collapses and eventually catches up to most companies?|the weight of disorganization and lack of order|81|128
193|173|Most companies cobble together a latticework of separate tools as they grow, but the weight of disorganization and lack of order collapses and eventually catches up to them. Email doesnt cut it anymore. More meetings arent going to solve the problem. And increasingly, incessant chatting creates exponentially more communication without the necessary structure and context to make it useful.|What has stopped cutting it anymore?|Email|174|179
194|174|This is where Basecamp comes in.|What is the name of the app that shows where to go on a map?|Basecamp|14|22
195|175|Basecamp helps growing companies organize their projects, internal communications, and client work in one place so they have a central source of truth. People know what to do, they know where things are, its clear where things stand, and everyone is accountable.|How does Basecamp help companies organize their work?|in one place|99|111
196|175|Basecamp helps growing companies organize their projects, internal communications, and client work in one place so they have a central source of truth. People know what to do, they know where things are, its clear where things stand, and everyone is accountable.|Who is accountable for the actions of the people working in Basecamp?|everyone|238|246
197|176|This is what we do here. It takes many forms, and were always working towards a more perfect system, but we help groups of people get their shit together and keep it together so they can do their best work with their team, in their company, for their own customers.|how do we help groups of people|get their shit together and keep it together|130|174
198|176|This is what we do here. It takes many forms, and were always working towards a more perfect system, but we help groups of people get their shit together and keep it together so they can do their best work with their team, in their company, for their own customers.|How do we help groups of people get their shit together?|keep it together|158|174
199|177|Titles for Designers We use the following criteria to assess the level and title of designers at Basecamp. These criteria arent exhaustive, and they arent mere checklists. We use the criteria as a guide for having individualized discussions about career progression.|How do the criteria help guide discussions?|as a guide for having individualized discussions about career progression|192|266
200|178|These criteria chiefly examine the scope of work someone is capable of tackling independently on a series of projects over an extended period of time (doing something well once isnt enough to justify advancement). In addition to that assessment, we also look at the quality of the execution itself. Basecamp pays in the top 10% of the industry (based on San Francisco rates), so the quality of the work itself should be commensurate with that target.|How are these criteria measured?|chiefly examine the scope of work someone is capable of tackling|15|79
201|178|These criteria chiefly examine the scope of work someone is capable of tackling independently on a series of projects over an extended period of time (doing something well once isnt enough to justify advancement). In addition to that assessment, we also look at the quality of the execution itself. Basecamp pays in the top 10% of the industry (based on San Francisco rates), so the quality of the work itself should be commensurate with that target.|What is the basecamp industry rate in the city?|10%|324|327
202|179|Work is thoroughly reviewed with substantial back-and-forth. Works primarily on tightly scoped, single element, routine problems with another designer. Follows existing design patterns, works within our existing look and feel. Usually less than 2 years of experience being a professional designer. WEB: Can write basic HTML/CSS with guidance. MOBILE: Can create prototypes w/ static screens.|How is the review of works?|thoroughly reviewed with substantial back-and-forth|8|60
203|180|Work is thoroughly reviewed with substantial back-and-forth. Works primarily on tightly scoped, single element, routine problems with another designer. Follows existing design patterns, works within our existing look and feel. Usually less than 2 years of experience being a professional designer. WEB: Can write basic HTML/CSS with guidance. MOBILE: Can create prototypes w/ static screens.|What is the experience of a designer?|less than 2 years|235|252
204|181|Work is reviewed with the occasional need for material direction or implementation changes. Works mostly on tightly scoped features, individual screens, or small problems with another designer. Usually at least 2-5 years of experience being a professional designer. WEB: Fully capable of writing modern HTML/CSS. MOBILE: Can create basic prototypes demonstrating interactions and animations.|What is the average experience of a professional designer?|2-5 years|211|220
205|182|Work is reviewed with the occasional need for material direction or implementation changes. Works mostly on tightly scoped features, individual screens, or small problems with another designer. Usually at least 2-5 years of experience being a professional designer. WEB: Fully capable of writing modern HTML/CSS. MOBILE: Can create basic prototypes demonstrating interactions and animations.|How can the WEB be used?|Fully capable of writing modern HTML/CSS|271|312
206|183|Work doesnt necessarily need to be reviewed, but general approach may be. Can run point on small batch projects, taking them from concept to shipping as the sole designer (alongside a programmer). Can occasionally run point on large batch projects, sometimes with assistance. Usually at least 5-8 years of experience being a professional designer. WEB: Fully capable of writing modern HTML/CSS and basic proficiency in Javascript. MOBILE: Can create detailed interactive prototypes demonstrating flows, interactions, and animations.|How can the process of working for a company be reviewed?|doesnt necessarily need to be reviewed, but general approach may be|5|73
207|184|Work doesnt necessarily need to be reviewed, but general approach may be. Can run point on small batch projects, taking them from concept to shipping as the sole designer (alongside a programmer). Can occasionally run point on large batch projects, sometimes with assistance. Usually at least 5-8 years of experience being a professional designer. WEB: Fully capable of writing modern HTML/CSS and basic proficiency in Javascript. MOBILE: Can create detailed interactive prototypes demonstrating flows, interactions, and animations.|What is the typical experience of a professional designer?|5-8 years|293|302
208|185|Work happens completely autonomously without regular need for review. Can run point on large batch projects, taking them from concept to shipping as the sole designer (alongside a programmer). Can lead a small department or longer-term initiative. Helps set and maintain professional standards for the entire organization. Makes regular, material contributions to the look-and-feel of our general aesthetic and brand. Usually at least 8-12 years of experience being a professional designer. Typically at least 3-5 years experience at Basecamp internalizing how we work. WEB: Fully capable of writing modern HTML/CSS/JS + the ability to make moderate progress in Rails. MOBILE: Can create detailed interactive prototypes demonstrating flows, interactions, and animations.|What is the typical experience of a professional designer?|8-12 years of experience|435|459
209|186|Work happens completely autonomously without regular need for review. Can run point on large batch projects, taking them from concept to shipping as the sole designer (alongside a programmer). Can lead a small department or longer-term initiative. Helps set and maintain professional standards for the entire organization. Makes regular, material contributions to the look-and-feel of our general aesthetic and brand. Usually at least 8-12 years of experience being a professional designer. Typically at least 3-5 years experience at Basecamp internalizing how we work. WEB: Fully capable of writing modern HTML/CSS/JS + the ability to make moderate progress in Rails. MOBILE: Can create detailed interactive prototypes demonstrating flows, interactions, and animations.|What is the typical amount of experience that a designer will have at Basecamp?|3-5 years|510|519
210|187|Can run point on our most complex, critical, big batch projects, taking them from concept to shipping as the sole designer (alongside one or more programmers). Leads major product redesigns (from version 2 to 3, 3 to 4, etc). Can spin up new concepts and prototype new products from scratch. Regularly publishes and shares design process insights inside and outside the company. Moves the industry forward by introducing novel techniques, approaches, or ideas. Completely comfortable discussing complex application logic with programmers. Usually at least 12-15+ years of experience being a professional designer. Typically at least 5-7 years experience at Basecamp internalizing how we work. WEB: Fully capable of writing their own HTML/CSS/JS + the ability to make significant progress in Rails. WEB: Can spin up new Rails apps from scratch, and make initial progress without outside help. MOBILE: Can create detailed interactive prototypes demonstrating flows, interactions, and animations. MOBILE: Can work in native environments and put together their own app from scratch.|How does the sole designer of a project help the company?|from concept to shipping|77|101
211|189|37signals Code of Conduct 37signals pledges to be a company with a healthy and friendly work environment. What follows is a set of guidelines on how we get there. Behavior that contributes to a healthy and friendly work environment:|How does 37Signals Code of Conduct help a company?|healthy and friendly work environment|67|105
212|189|37signals Code of Conduct 37signals pledges to be a company with a healthy and friendly work environment. What follows is a set of guidelines on how we get there. Behavior that contributes to a healthy and friendly work environment:|What contributes to a healthy and friendly work environment?|Behavior|163|171
213|190|Using courteous language. Being respectful and empathetic, especially when it comes to differing viewpoints and experiences. Gracefully accepting constructive criticism and direct feedback, as well as offering it in that spirit. Assuming good intentions. Approaching work relationships with a default of trust and positivity.|What are the two default ways people approach work relationships?|trust and positivity|304|325
214|193|These expectations apply to all current employees. Unacceptable employee conduct will not be tolerated virtually (e.g. in Basecamp, GitHub) or at in-person events.Reporting|What is an example of an example of an unacceptable employee event?|Basecamp, GitHub|122|139
215|194|If you experience or witness something that violates our Code of Conduct, please report it to your manager or to leadership via email or chat. All reports will be reviewed and investigated, and your confidentiality will be as protected as possible during the investigation.|What are the two channels through which you can report a violation of the Code of Conduct?|email or chat|128|142
216|194|If you experience or witness something that violates our Code of Conduct, please report it to your manager or to leadership via email or chat. All reports will be reviewed and investigated, and your confidentiality will be as protected as possible during the investigation.|What channels will you report something via?|email or chat|128|142
217|195|If an employee is found to have violated our Code of Conduct, it will be permanently documented in their personnel file. Depending on the severity of the offense and the findings of the investigation, additional responses may include mandatory training, a formal reprimand, or even termination. The reactive measures taken will be shared with the reporting employee when possible.|What factors will determine the amount of mandatory training?|severity of the offense and the findings of the investigation|138|200
218|196|In extreme circumstances, you can report an incident anonymously. Anonymous complaints should be reserved for incidents in which you fear for your safety.|How can you report an incident in extreme circumstances?|anonymously|53|65
219|196|In extreme circumstances, you can report an incident anonymously. Anonymous complaints should be reserved for incidents in which you fear for your safety.|How can you anonymously complain?|reserved for incidents in which you fear for your safety|97|154
220|197|An important note: Most interpersonal conflicts do not rise to the level of a Code of Conduct report. If you find a colleague rude or difficult to work with, you should address that with your manager or better yet with that colleague directly. Code of Conduct reports are reserved for the kind of unacceptable behavior outlined above and other serious transgressions illegal or egregiously unethical behavior.|How does the Code of Conduct report on a colleague?|address that with your manager or better yet with that colleague directly|169|243
221|201|When you start, youll receive an outline of expected performance metrics for your first 3 months. Those standards will be clear and attainable, and your manager will give you frequent, candid feedback. On occasion, despite our collective best efforts, its not a fit. We dont do full-scale performance improvement plans during the first three months. So if during that time it starts looking like your long-term employment wont work out, your manager will let you know early and why.|How will your manager give feedback to you?|frequent, candid|175|191
222|201|When you start, youll receive an outline of expected performance metrics for your first 3 months. Those standards will be clear and attainable, and your manager will give you frequent, candid feedback. On occasion, despite our collective best efforts, its not a fit. We dont do full-scale performance improvement plans during the first three months. So if during that time it starts looking like your long-term employment wont work out, your manager will let you know early and why.|How long are performance improvement plans for in the full-time work world?|three months|336|349
223|202|We hope, and fully expect, that your first 90 days will confirm what we learned in the hiring phase youre well suited for this job, this team, and youre invigorated by the work to be done. Just put in your best effort, make sure you reach out if things arent feeling right, embrace the feedback you get from your manager, and openly share your feedback with them!|How do you feel about the job?|if things arent feeling right|243|273
224|203|Advancing your career at 37signals doesnt mean giving up on your craft. No matter your role, you can become better at the work itself and level-up that way. This is especially important since were a relatively small company with few layers of managerial cake.|What can you improve on to level up your career?|No matter your role, you can become better at the work|72|126
225|204|Advancing your career at 37signals doesnt mean giving up on your craft. No matter your role, you can become better at the work itself and level-up that way. This is especially important since were a relatively small company with few layers of managerial cake.|How many layers of management does 37signals have?|few|229|232
226|205|Within each of our job functions, weve mapped our trajectory of mastery to five different levels. That title structure is shared amongst all departments, but the particulars of what characterizes one level from another will of course be different. Heres an example of the titles for programming:|How many different levels of mastery are there in a company?|five|75|79
227|205|Within each of our job functions, weve mapped our trajectory of mastery to five different levels. That title structure is shared amongst all departments, but the particulars of what characterizes one level from another will of course be different. Heres an example of the titles for programming:|What is the shared among all departments in the organization?|title structure|103|118
228|207|While this is how we recognize mastery, its by no means an expectation that everyone will start as a junior and end up as a principal. 37signals needs people and perspectives from all levels of skill. And for those who do end up progressing all the way through this path, it may well be a journey of many, many years, if not a decade+.|What does it need people and perspectives from all levels of skill for?|37signals|135|144
229|207|While this is how we recognize mastery, its by no means an expectation that everyone will start as a junior and end up as a principal. 37signals needs people and perspectives from all levels of skill. And for those who do end up progressing all the way through this path, it may well be a journey of many, many years, if not a decade+.|What is the length of a journey in the Path to Mastery?|many, many years|300|317
230|208|But these titles make it clear to everyone where someone is in their career progression at 37signals. Note that these titles are about a particular role at 37signals. Someone may well have been a Senior Designer somewhere else with a different assessment criteria and a different workflow, and then still start at 37signals as a Designer. We recognize mastery and titles at 37signals for the work done at 37signals.|These titles are about a particular role at what company?|37signals|156|166
231|208|But these titles make it clear to everyone where someone is in their career progression at 37signals. Note that these titles are about a particular role at 37signals. Someone may well have been a Senior Designer somewhere else with a different assessment criteria and a different workflow, and then still start at 37signals as a Designer. We recognize mastery and titles at 37signals for the work done at 37signals.|These titles are about a particular role at what company?|37signals|156|166
232|209|Day to day, though, these titles arent really much of a factor. But they do give newcomers another way of orienting themselves at the company and it gives everyone a clear way of tracking their personal career progression at 37signals.|How does 37signals track a person's career progress?|clear|166|171
233|209|Day to day, though, these titles arent really much of a factor. But they do give newcomers another way of orienting themselves at the company and it gives everyone a clear way of tracking their personal career progression at 37signals.|What company tracks personal career progression?|37signals|225|235
234|211|37signals pays at the top 10% for our industry at San Francisco salary levels, regardless of where you live. The comparison data is provided by a company called Radford that polls compensation data from all the major companies in our industry and plenty of our smaller peers as well. Because we dont pay bonuses, we match our base compensation to the base + bonus of our peer group.|What is the name of the company that pays at the top 10% in San Francisco salary levels?|37signals|0|9
235|211|37signals pays at the top 10% for our industry at San Francisco salary levels, regardless of where you live. The comparison data is provided by a company called Radford that polls compensation data from all the major companies in our industry and plenty of our smaller peers as well. Because we dont pay bonuses, we match our base compensation to the base + bonus of our peer group.|What is the name of the company that provides comparison data for 37signals?|Radford|161|168
236|212|Some jobs at 37signals are not matched to Radford comparison data. Compensation for common technical roles like programming and design is reliably competitive in a market like San Francisco. For some non-technical roles, compensation is much lower, much less competitive. To compensate for that industry disparity, we instituted a $73,500 salary floor (floor adjusted for inflation since publishing).|How much is the salary floor for Radford employees?|73,500|332|338
237|213|The Radford data is reviewed once per year at the end of November. If its warranted, that is if the market rates in the top 10% have gone up, well increase pay on January 1st to follow suit. We dont decrease pay, even if the market rates may have dropped. If that happens, well hold them steady until they come up again.|How do market rates of the top 10% affect Radford pay?|gone up|133|141
238|213|The Radford data is reviewed once per year at the end of November. If its warranted, that is if the market rates in the top 10% have gone up, well increase pay on January 1st to follow suit. We dont decrease pay, even if the market rates may have dropped. If that happens, well hold them steady until they come up again.|On what date does the Radford pay increase to follow the market rate?|January 1st|163|174
239|214|In addition to raises based on Radford market data, weve also in the past given raises in excess of those based on core price index inflation numbers, if the market didnt move upward. This is not a guaranteed practice.|What other market data has we used in the past?|Radford market data|31|51
240|215|Everyone in the same role at the same level is paid the same at 37signals.When you get a promotion, that is you move from one level to another, youll get a corresponding pay raise effective on your next pay cycle. Performance Reviews|What company pays everyone the same for the same role?|37signals.When|64|78
241|215|Everyone in the same role at the same level is paid the same at 37signals.When you get a promotion, that is you move from one level to another, youll get a corresponding pay raise effective on your next pay cycle. Performance Reviews|What does a promotion give you?|a corresponding pay raise|154|179
242|216|Youll meet with your manager for formal performance reviews. When you're new to 37signals, you'll meet at the 3-month, 6-month, and 1-year marks. Then you'll meet once a year, around your anniversary with the company. Your manager will share performance expectations for your role when you start, and they'll keep you apprised of any changes to expectations should they evolve.|At what time of the year will you meet with your manager?|3-month, 6-month, and 1-year marks|110|145
243|216|Youll meet with your manager for formal performance reviews. When you're new to 37signals, you'll meet at the 3-month, 6-month, and 1-year marks. Then you'll meet once a year, around your anniversary with the company. Your manager will share performance expectations for your role when you start, and they'll keep you apprised of any changes to expectations should they evolve.|What will your manager share with you when you start?|performance expectations|242|266
244|217|Managers are expected to document performance review outcomes and any action items or deadlines that come out of the meetings.Performance Improvement Plans|What do managers document?|performance review outcomes|34|61
245|217|Managers are expected to document performance review outcomes and any action items or deadlines that come out of the meetings.Performance Improvement Plans|Along with the performance review outcomes, what else is typically recorded in a meeting?|action items or deadlines|70|95
246|218|If your work performance is not meeting expectations, you may be put on a Performance Improvement Plan (PIP). We only initiate PIPs if your managers concern is correctable in the short term. We do not initiate PIPs for fundamental performance issues that relate to your core job skills. If youre a Programmer whose coding skills are not at the level they need to be, wed forego a PIP. However we may initiate a PIP to help you improve your performance in a coachable skill like project management. In those cases, well follow our performance plan process.|What does PIP stand for?|Performance Improvement Plan|74|102
247|218|If your work performance is not meeting expectations, you may be put on a Performance Improvement Plan (PIP). We only initiate PIPs if your managers concern is correctable in the short term. We do not initiate PIPs for fundamental performance issues that relate to your core job skills. If youre a Programmer whose coding skills are not at the level they need to be, wed forego a PIP. However we may initiate a PIP to help you improve your performance in a coachable skill like project management. In those cases, well follow our performance plan process.|What is the first step in initiating a PIP?|performance plan process|530|555
248|219|Getting started at 37signals involves a lot of little details, a number of big tasks, learning the details of your new job, meeting new coworkers, all while working remotely. Your teammates, your manager, your 37signals buddy, your Ops buddy, and our People team are all here to help as you navigate your first few days and weeks.|What site help job seekers learn about their new job?|37signals|19|28
249|220|Getting started at 37signals involves a lot of little details, a number of big tasks, learning the details of your new job, meeting new coworkers, all while working remotely. Your teammates, your manager, your 37signals buddy, your Ops buddy, and our People team are all here to help as you navigate your first few days and weeks.|What is the name of your co-workers that will help you in your new job?|your manager, your 37signals buddy, your Ops buddy|191|242
250|221|Before you start, Andrea will order you a new laptop with the specs you request and any accessories you need like an external keyboard, mouse, or display. Get what you need, while keeping in mind the demands of your work when choosing specs.|Who will order you a new laptop for your work?|Andrea|18|24
251|222|Before you start, Andrea will order you a new laptop with the specs you request and any accessories you need like an external keyboard, mouse, or display. Get what you need, while keeping in mind the demands of your work when choosing specs.|What should you keep in mind when choosing a laptop spec?|the demands of your work|196|220
252|223|A day or two before you start, your manager will email you instructions for your first day. Your manager will be your point of contact for your early projects and activities. You'll also work with a member of our Ops team who will help you as you set up all the accounts you need to work at 37signals.|What is the point of contact for your early projects?|Your manager|92|104
253|223|A day or two before you start, your manager will email you instructions for your first day. Your manager will be your point of contact for your early projects and activities. You'll also work with a member of our Ops team who will help you as you set up all the accounts you need to work at 37signals.|What team will help you set up your 37signals accounts?|Ops team|213|221
254|224|On your first day, you'll log into Basecamp to see a project dedicated to your onboarding called Welcome, [your name]!. Your welcome project will contain a few to-do lists linking to accounts or services that you need to set up to get started. Youll also see to-do lists that your Ops buddy and manager will be working through. Your Ops buddy and your manager will be in contact with you as you set up your environment, should you have questions or get stuck.|What is the name of the onboarding project for the first day of the job?|Welcome|97|105
255|225|The accounts you're asked to set up depend on the role you've been hired for. But everyone at the company is asked to follow a stringent and specific security protocol, which we monitor after set-up using Shipshape. Heres a list of what we require and why we require it.|How are the accounts you're asked to set up set up?|depend on the role you've been hired for|36|77
256|225|The accounts you're asked to set up depend on the role you've been hired for. But everyone at the company is asked to follow a stringent and specific security protocol, which we monitor after set-up using Shipshape. Heres a list of what we require and why we require it.|what is the name of the onboarding platform for onboarding?|Shipshape|205|215
257|226|Your training schedules and onboarding expectations will be in your welcome project. You'll also find docs with helpful links to technical documentation, walkthrough videos, important Basecamp projects, and more.|How will you find your training schedule and onboarding expectations?|welcome project|68|84
258|227|Your welcome project will also contain a list of people to meet over the course of your first few weeks. * your manager. You and your manager will meet on your first day to sort out a recurring 1:1 schedule and to review your specific onboarding expectations. * your team. Most teams have a weekly call which you'll join your first week. * your 37signals buddy. Your buddy will be someone whos not on your immediate team, whos worked at 37signals for a while, and who can point you in the right direction when you have a question and dont quite know where to turn. Theyll introduce themselves during your first week, to say hi and offer their help. Theyll check in with you periodically throughout your first couple months to see how youre settling in. * People Ops. You'll meet with Andrea to review 37signals policies, benefits, and compensation.|Who will help you with policies and compensation?|Andrea|784|790
259|228|After your environment has been set up, expectations are clear, and you've met who you need to meet, you'll get to work! You'll begin working on real projects, with plenty of support and guidance, within your first week. Your responsibilities and impact will increase as you learn and gain confidence over the next few months, and most people are up to speed and feeling fully part of the team in about 3 months.|What is the first week of a new job for most people?|3 months|403|412
260|228|After your environment has been set up, expectations are clear, and you've met who you need to meet, you'll get to work! You'll begin working on real projects, with plenty of support and guidance, within your first week. Your responsibilities and impact will increase as you learn and gain confidence over the next few months, and most people are up to speed and feeling fully part of the team in about 3 months.|In what time period will most people feel fully part of the team?|3 months|403|412
261|229|Most people at 37signals work from home most of the time. You can spend up to $2,000 during your first year at 37signals outfitting your home office. Getting the basics right will make a big difference: a good chair and a good desk.|What is the maximum amount of money that you can spend during your first year at 37signals?|2,000|79|84
262|230|Most people at 37signals work from home most of the time. You can spend up to $2,000 during your first year at 37signals outfitting your home office. Getting the basics right will make a big difference: a good chair and a good desk.|How do you spend the first year of your home office?|up to $2,000|72|84
263|231|Working from home all the time isnt everyones cup of coffee. Lots of us choose to work from coffee shops or other third spaces either some of the time or a lot of the time. Great for a buzz of other people and caffeine, but please do mind our basic security rules and procedures to ensure that nothing leaks on to the cafe wifi.|How do you decide to work from coffee shops or other third spaces?|either some of the time or a lot of the time|127|172
264|232|Working from home all the time isnt everyones cup of coffee. Lots of us choose to work from coffee shops or other third spaces either some of the time or a lot of the time. Great for a buzz of other people and caffeine, but please do mind our basic security rules and procedures to ensure that nothing leaks on to the cafe wifi.|What are some of the places people work from home?|coffee shops or other third spaces|92|126
265|233|If working from home or from a coffee shop doesnt suit you, then trying a coworking space might just do the trick. 37signals offers a $200/month stipend towards a desk in such a place. We also offer all staff an account with Deskpass if you need inspiration.|What company offers a stipend for a desk at a coffee shop?|37signals|115|124
266|234|If working from home or from a coffee shop doesnt suit you, then trying a coworking space might just do the trick. 37signals offers a $200/month stipend towards a desk in such a place. We also offer all staff an account with Deskpass if you need inspiration.|What kind of account do staff have with 37signals?|Deskpass|225|233
267|237|It should also be noted that these criteria chiefly examine the scope of work someone is capable of tackling independently. In addition to that assessment, we also look at the consistency and quality of the execution itself. Basecamp pays in the top 10% of the industry (based on San Francisco rates), so the quality of the work itself should be commensurate with that target.|How do these criteria measure performance?|examine the scope of work someone is capable of tackling independently|52|123
268|237|It should also be noted that these criteria chiefly examine the scope of work someone is capable of tackling independently. In addition to that assessment, we also look at the consistency and quality of the execution itself. Basecamp pays in the top 10% of the industry (based on San Francisco rates), so the quality of the work itself should be commensurate with that target.|What is the basis of Basecamp's pay-in-the-top-10%?|San Francisco rates|280|301
269|238|Discussion about tasks and how to complete them prior to starting work is required. Basic familiarity with networking, configuration management, containers, orchestration, and other major systems, and with common processes and procedures. Mostly carries out low-risk, isolated system maintenance tasks; passively participates in emergency problem resolution. Many questions to more senior team members. Does not participate in on-call rotation. Self taught; may have worked at IT Help Desk for 1-2 years.|What does the system not participate in?|on-call rotation|427|444
270|240|Work is reviewed with the occasional need for material direction or implementation changes. Works on single system / variable problems. Can handle on call with the backing of a more senior team member. Can perform work on production systems by following existing procedures. Shows strength in some areas of specialization, but lacks the balance of experience in all areas. Lacks institutional knowledge about our systems. Not completely familiar with documentation or procedures. Usually at least 5 years of experience as sysadmin or programmer with site reliability experience.|How does the system of work for the work?|by following existing procedures|241|274
271|242|Work doesnt necessarily need to be reviewed, but general approach may be. Can work independently on smaller projects and be a reliable contributor to larger projects. Fully participates in on call rotation. Subject matter expert in at least one major system. Plans and performs lower risk maintenance independently. Participates in higher risk maintenances. Contributes to resolving major problems. Improves existing professional standards for the team. Usually at least 6-10 years of experience being a professional sysadmin or network engineer; typically 5 years experience at Basecamp internalizing how we work.|How should work be reviewed?|doesnt necessarily need to be reviewed, but general approach may be|5|73
272|243|Work doesnt necessarily need to be reviewed, but general approach may be. Can work independently on smaller projects and be a reliable contributor to larger projects. Fully participates in on call rotation. Subject matter expert in at least one major system. Plans and performs lower risk maintenance independently. Participates in higher risk maintenances. Contributes to resolving major problems. Improves existing professional standards for the team. Usually at least 6-10 years of experience being a professional sysadmin or network engineer; typically 5 years experience at Basecamp internalizing how we work.|What does the system of work for the entire group?|Subject matter expert|207|228
273|244|Able to fill in and lead team for short periods. Work happens completely autonomously with no regular need for review. Expert on multiple systems. Helps make strategic decisions around major components. Elevates the standards through new tooling, processes, procedures and effective communication. Able to carry out research, testing, implementation and improvement for new systems. Leads high risk maintenance with limited to no customer impact. Significant technical contributor to problem resolution; demonstrates consistent maturity in communication and demeanor under stress. Performs more complex work like capacity planning, load testing, security improvements, etc. Sets new professional standards for the team. Usually at least 8-12 years of experience being a professional sysadmin.|What type of complex work does a system administrator do?|capacity planning, load testing, security improvements|613|668
274|245|Able to fill in and lead team for short periods. Work happens completely autonomously with no regular need for review. Expert on multiple systems. Helps make strategic decisions around major components. Elevates the standards through new tooling, processes, procedures and effective communication. Able to carry out research, testing, implementation and improvement for new systems. Leads high risk maintenance with limited to no customer impact. Significant technical contributor to problem resolution; demonstrates consistent maturity in communication and demeanor under stress. Performs more complex work like capacity planning, load testing, security improvements, etc. Sets new professional standards for the team. Usually at least 8-12 years of experience being a professional sysadmin.|What is the average experience of a professional syseadmin?|8-12 years|737|747
275|246|Can run large and complex Ops projects independently. Carries significant responsibility for many domains of infrastructure. Multiple areas of expertise: configuration management, containers, continuous integration / development, debugging, orchestration, optimization, networking, performance, reliability, security. Makes what is new normal; what is old reliable; evangelizes what is next. Pushes the whole organization forward regularly through implementing new systems and designs. Writes new procedures and documentation regularly; trains others throughout the company. Work is almost always free of mistakes; often helps others improve the quality of their work. Completely comfortable working with all teams at Basecamp; frequently coordinates work across teams to solve complex problems. When a site is down, something is broken, or work is crazy, this person is ready to save the day and lead us to a successful resolution. Effectively delegates work to others; acts as a leader who has earned the respect of their peers. Capable of coordinating company wide response to major issues and leading problem resolution via emergency procedures. Usually 12-15 years of experience being a professional sysadmin.|How does the Ops person push the whole organization forward?|through implementing new systems and designs|440|485
276|247|Can run large and complex Ops projects independently. Carries significant responsibility for many domains of infrastructure. Multiple areas of expertise: configuration management, containers, continuous integration / development, debugging, orchestration, optimization, networking, performance, reliability, security. Makes what is new normal; what is old reliable; evangelizes what is next. Pushes the whole organization forward regularly through implementing new systems and designs. Writes new procedures and documentation regularly; trains others throughout the company. Work is almost always free of mistakes; often helps others improve the quality of their work. Completely comfortable working with all teams at Basecamp; frequently coordinates work across teams to solve complex problems. When a site is down, something is broken, or work is crazy, this person is ready to save the day and lead us to a successful resolution. Effectively delegates work to others; acts as a leader who has earned the respect of their peers. Capable of coordinating company wide response to major issues and leading problem resolution via emergency procedures. Usually 12-15 years of experience being a professional sysadmin.|What is the typical experience of a professional syseadmin?|12-15 years|1158|1169
277|248|Benefits & Perks Health Insurance Detailed information about all 37signals insurance policies and other benefits can be found in Basecamp. Medical Insurance|What is the name of the company that offers health insurance?|Benefits & Perks|0|16
278|248|Benefits & Perks Health Insurance Detailed information about all 37signals insurance policies and other benefits can be found in Basecamp. Medical Insurance|In what area of the website can one find information about the 37signals insurance policies?|Basecamp|129|138
279|249|In the United States, medical insurance is provided through Blue Cross Blue Shield PPO. The company pays 75% of the premium and the employee pays the other 25%. Open enrollment is in November every year, with new coverage beginning December 1. Marriages and domestic partnerships are covered equally. You're eligible for coverage on your first day of employment. If you are terminated or resign from 37signals, your coverage will end on the last day of the month of your separation date and you may be eligible for continued coverage after that (COBRA).|What is the name of the medical insurance company in the US?|Blue Cross Blue Shield PPO|60|87
280|249|In the United States, medical insurance is provided through Blue Cross Blue Shield PPO. The company pays 75% of the premium and the employee pays the other 25%. Open enrollment is in November every year, with new coverage beginning December 1. Marriages and domestic partnerships are covered equally. You're eligible for coverage on your first day of employment. If you are terminated or resign from 37signals, your coverage will end on the last day of the month of your separation date and you may be eligible for continued coverage after that (COBRA).|On what date does the insurance company open for new policies?|December 1|232|243
281|250|Dental insurance in the US is provided through MetLife. The company pays 100% of the premium. Open enrollment is in November every year, with new coverage beginning December 1. Marriages and domestic partnerships are covered equally. You're eligible for coverage on your first day of employment. If you are terminated or resign from 37signals, your coverage will end on the last day of the month of your separation date and you may be eligible for continued coverage after that (COBRA).|What is the name of the company that provides dental insurance in the US?|MetLife|47|55
282|251|Dental insurance in the US is provided through MetLife. The company pays 100% of the premium. Open enrollment is in November every year, with new coverage beginning December 1. Marriages and domestic partnerships are covered equally. You're eligible for coverage on your first day of employment. If you are terminated or resign from 37signals, your coverage will end on the last day of the month of your separation date and you may be eligible for continued coverage after that (COBRA).|On what date does the dental insurance open for new policies?|December 1|165|176
