|context_id|context|question|answer
165|138|If you want to learn the 37signals view of the world, it helps to know the influences that helped form it. We've been around since 1999. Since then theres been a number of key influencers that have marked the company culture. Books. Turn The Ship Around: Leadership should mean giving control rather than taking control and creating leaders rather than forging followers, David Marquet. 37signals employs great people and they deserve the freedom and autonomy to act on their own. Dont wait for permission, just state what youre going to do, and then do it.|Since when has there been a number of notable influencers who have marked the company culture?| 1999
166|139|If you want to learn the 37signals view of the world, it helps to know the influences that helped form it. We've been around since 1999. Since then theres been a number of key influencers that have marked the company culture. Books. Turn The Ship Around: Leadership should mean giving control rather than taking control and creating leaders rather than forging followers, David Marquet. 37signals employs great people and they deserve the freedom and autonomy to act on their own. Dont wait for permission, just state what youre going to do, and then do it.|Who is the leader of 37signals?| David Marquet
167|140|Finding Flow: True happiness is found in optimal moments of engagement when we stretch just beyond our abilities and lose track of time and space in the process. Protecting the flow by limiting interruptions has been a driving principle of 37signals. Punished by Rewards: We dont strive for trophies, swoon for trinkets, gameify our apps with badges, or push any other form of extrinsic motivation for neither ourselves nor our customers. Working at 37signals should be about the intrinsic motivation of doing a good job, not because youre trying to impress someone else.|Doing what should be about the intrinsic motivation of doing what?| good job
168|141|The Manual: Do not wish that all things will go well with you, but that you will go well with all things. Core lessons on keeping calm and carrying on that have inspired and guided us. Maverick: Ricardo Semler helped us find the confidence to promote and push for weird and different ways of working by showing just how weird and different you can work at even a place as stodgy as a 8,000-person industrial company in Brazil.|What leader helped us find the confidence to promote and push for weird and different ways of working by showing just how weird and different you can work at even a place as stodgy as a 8,000-person industrial company?| Ricardo Semler
169|141|The Manual: Do not wish that all things will go well with you, but that you will go well with all things. Core lessons on keeping calm and carrying on that have inspired and guided us. Maverick: Ricardo Semler helped us find the confidence to promote and push for weird and different ways of working by showing just how weird and different you can work at even a place as stodgy as a 8,000-person industrial company in Brazil.|How many people does a Brazilian company have?| 8,000-person
170|142|37signals Employee Handbook. For over 10 years, we didnt have a handbook. In those 10 years, when a new person joined the company, they were expected to figure things out for themselves. But when we grew from a company of 10, 20, 30 employees to now a company of over 80, our introduction by immersion style stopped working. New hires felt lost and isolated, and their first weeks or even months on the job were stressful because of it. It can be unnerving to join any company, but perhaps 37signals in particular, given how different some of our practices are. Theres as much to unlearn as there is to learn. Prior to this handbook, navigating that path was both somewhat random and almost entirely oral. For a company that prides itself on clarity and writing, that just wasnt right.|Since inception, how long has it been since a new employee came in?| 10 years
171|143|37signals Employee Handbook. For over 10 years, we didnt have a handbook. In those 10 years, when a new person joined the company, they were expected to figure things out for themselves. But when we grew from a company of 10, 20, 30 employees to now a company of over 80, our introduction by immersion style stopped working. New hires felt lost and isolated, and their first weeks or even months on the job were stressful because of it. It can be unnerving to join any company, but perhaps 37signals in particular, given how different some of our practices are. Theres as much to unlearn as there is to learn. Prior to this handbook, navigating that path was both somewhat random and almost entirely oral. For a company that prides itself on clarity and writing, that just wasnt right.|When did our first employees begin to understand the management system?| 80
172|145|This handbook also offers us an opportunity to clarify who we actually are as a company. What do we stand for? How should we work? Codifying those beliefs into a handbook makes them tangible and, most importantly, editable. Making the company our best product is a guiding principle, but we cant easily improve what we havent articulated. So whatever version of this handbook youre reading, you can be sure its not the last. Please do help keep it up to date! And by up to date, were not just talking about misspellings and team changes. Its just as much we say were about X, but what were really doing is Y. So many of these employee handbook projects turn out to be ideal-case prescriptions rather than real-world descriptions. They cover all the ways people should act, not the ways they actually do. Thats a sham. Lets not write a handbook like that. Lets keep it honest.|How do you decide to make a product?| best product
173|145|This handbook also offers us an opportunity to clarify who we actually are as a company. What do we stand for? How should we work? Codifying those beliefs into a handbook makes them tangible and, most importantly, editable. Making the company our best product is a guiding principle, but we cant easily improve what we havent articulated. So whatever version of this handbook youre reading, you can be sure its not the last. Please do help keep it up to date! And by up to date, were not just talking about misspellings and team changes. Its just as much we say were about X, but what were really doing is Y. So many of these employee handbook projects turn out to be ideal-case prescriptions rather than real-world descriptions. They cover all the ways people should act, not the ways they actually do. Thats a sham. Lets not write a handbook like that. Lets keep it honest.|Do you know what term is used for a book that covers all the ways people should act?| ideal-case
174|148|With that in mind, here are some examples of what wed consider OK and what we would consider a conflict of interest and not OK:. OK. An occasional side gig, free or paid, for someone you know. For example, if you want to work on a friends website, or a design or writing project for something youre involved with, thats fine.|If you are doing a side gig for a client, or a design, you could consider it a side gig.| occasional side gig
175|149|With that in mind, here are some examples of what wed consider OK and what we would consider a conflict of interest and not OK:. OK. An occasional side gig, free or paid, for someone you know. For example, if you want to work on a friends website, or a design or writing project for something youre involved with, thats fine.|If you are an artist, what type of work does an artist have to share with others?| you know
176|150|. An occasional speaking gig, free or paid. Someones going to pay you to give a talk somewhere? Thats fine as long as it doesnt involve multiple days off for travel (unless you use your own personal vacation time against this travel time). A side business thats different from your day job, as long as the commitment is only a few hours a week. If you come to work exhausted because youre trying to start a full-time business on the side, its going to impact your performance here.|Do people who work for a side business have to work over a week to make up for the work that they do?| hours
177|151|. Serve as an advisor for another company, or be on a board, as long as theres no conflict of interest. The time commitment must be under a few hours a month. And if theres a scheduling conflict, 37signals gets priority. Do volunteer or occasional pro-bono work for a cause youre actively involved with. A little work here and there is fine, but, for example, becoming an organizations full-time web designer and being on the hook to work during your standard work day, etc, would not be OK.|Do you have to spend time on board meetings or other activities?| under a few hours a month
178|151|. Serve as an advisor for another company, or be on a board, as long as theres no conflict of interest. The time commitment must be under a few hours a month. And if theres a scheduling conflict, 37signals gets priority. Do volunteer or occasional pro-bono work for a cause youre actively involved with. A little work here and there is fine, but, for example, becoming an organizations full-time web designer and being on the hook to work during your standard work day, etc, would not be OK.|Do volunteer or occasional pro-bono work for a cause youre actively involved with?| 37signals
179|152|. Not OK. You cant work full time or part time for another company in our industry. If youre unclear about what our industry is, and you have a specific situation youd like to talk about, ping Jason or David. Go out on a regular speaking circuit tour which is going to require multiple days of travel multiple times a year. Thats too disruptive to our own work schedule and to your fellow teammates.|Go to the airport to talk to people at work?| Jason or David
180|153|. Consult for other companies in our industry where there may be a conflict of interest (a competitor, a product tangentially related to 37signals, etc). Be aggressive in marketing your availability for side work. If something comes to you through a friend or some connection, fine, but aggressively promoting something on the side will ultimately result in a conflict of interest here at work.|Do you want to advertise something for that competitor or other product tangentially related to 37signals?| of interest
181|156|Besides the customer-facing applications, like the different versions of Basecamp, we have a number of internal systems that help us support, report, and operate the company. They are as follows:. Dash. Dash is the main hub for everything that has to do with logging (like finding why a request is slow or whether an email has been delivered), reporting (everything from number of support cases handled to split of devices used to access Basecamp), application health (response times, job queue exceptions etc).|What is the main hub for all that has to do with logging?| Dash
182|158|dash.37signals.com. Queenbee. Queenbee is our invoice, accounting, and identity system. Here you can look up any customer account, see whether they are comped, refund an invoice, or even login as a customer. Thats an immense amount of power and we take its use very seriously. We only ever login as a customer after having been given explicit permission to do so, never preemptively. Our customers expect that their information is confidential, even from us, and we intend to honor that expectation at all times.|Do we always have to wait for customers to sign up?| been given explicit permission
183|159|billing.37signals.com. The 37 command. This is perhaps less of a system and more of an interface to all our other systems. The 37 command gives easy access to the production consoles for all the applications, which is often needed when diagnosing or fixing custom issues. It also allows you to directly grep and tail log files for live debugging, amongst other things.|What is useful for troubleshooting and fixing issues with the log files?| and tail log files
184|160|github.com/basecamp/37. Sentry. We track programming exceptions on Sentry. When a customer hits a Oops, something went wrong! screen, that means therell be an entry in Sentry explaining to programmers why they saw that screen. Keeping the exceptions under control and monitored is primarily the responsibility of SIP and Jim via on-call.|What two people are responsible for monitoring Sentry?| SIP and Jim
185|163|Health Insurance. Detailed information about all 37signals insurance policies and other benefits can be found in Basecamp. Medical Insurance. In the United States, medical insurance is provided through Blue Cross Blue Shield PPO. The company pays 75% of the premium and the employee pays the other 25%. Open enrollment is in November every year, with new coverage beginning December 1. Marriages and domestic partnerships are covered equally. You're eligible for coverage on your first day of employment. If you are terminated or resign from 37signals, your coverage will end on the last day of the month of your separation date and you may be eligible for continued coverage after that (COBRA).|On what month of the year are open enrollment in medicine?| November
186|164|Each pay period, youll see a payroll deduction for medical insurance:. Employee-only medical coverage: $76.93. Employee-partner medical coverage: $160.26. Employee-child(ren) medical coverage: $171.29. Employee-family medical coverage: $254.61. Dental Insurance. Dental insurance in the US is provided through MetLife. The company pays 100% of the premium. Open enrollment is in November every year, with new coverage beginning December 1. Marriages and domestic partnerships are covered equally. You're eligible for coverage on your first day of employment. If you are terminated or resign from 37signals, your coverage will end on the last day of the month of your separation date and you may be eligible for continued coverage after that (COBRA).|On what month does it take for employees to receive Dental insurance?| November
187|165|Vision Insurance. Vision insurance in the US is provided through MetLife. The company pays 100% of the premium. Open enrollment is in November every year, with new coverage beginning December 1. Marriages and domestic partnerships are covered equally. You're eligible for coverage on your first day of employment. If you are terminated or resign from 37signals, your coverage will end on the last day of the month of your separation date and you may be eligible for continued coverage after that (COBRA).|On what month of the year are open enrollment for Vision Insurance| November
188|166|Health Insurance for Staff Outside the US. If youre outside of the US and pay out of pocket for private health insurance, you can request reimbursement for 75% of your insurance payments on your monthly invoice. Your monthly reimbursement is capped at the amount 37signals pays per employee per month on the US employee group plan. You may be asked to provide documentation to support your request for reimbursement.|If youre outside of the US and pay out of pocket for private health insurance, you can request reimbursement for what?| 75%
189|166|Health Insurance for Staff Outside the US. If youre outside of the US and pay out of pocket for private health insurance, you can request reimbursement for 75% of your insurance payments on your monthly invoice. Your monthly reimbursement is capped at the amount 37signals pays per employee per month on the US employee group plan. You may be asked to provide documentation to support your request for reimbursement.|If you are outside of the US and pay out of pocket for health insurance, you can request reimbursement for 75% of your insurance payments on your monthly invoice.| 37signals pays per employee
190|167|Life Insurance. 37signals offers a $400,000 life insurance/AD+D policy to all staff through MetLife. The company pays 100% of the premium. You're eligible for coverage on your first day of employment, and its terminated automatically on your final day of employment. Open enrollment is in November every year, and participants are auto-enrolled at that time.|Life insurance is paid by insurance companies that pay for what?| $400,000
191|167|Life Insurance. 37signals offers a $400,000 life insurance/AD+D policy to all staff through MetLife. The company pays 100% of the premium. You're eligible for coverage on your first day of employment, and its terminated automatically on your final day of employment. Open enrollment is in November every year, and participants are auto-enrolled at that time.|On what month does it open for enrollment?| November
192|168|Retirement Plan. Our retirement plan for US employees is with Vanguard. 37signals matches 100% of what you contribute, up to 6% of your salary. You are eligible to enroll in the 401K plan with your first paycheck. If you're outside the US, 37signals will match what you contribute to a retirement account in your home country, up to 6% of your salary. In these cases, 37signals will pay you directly via your monthly invoice. Its up to you to invest that payment and maintain administration of the retirement account and its taxes. You may be asked to provide documentation to support your request for a match.|Do you contribute to a 401K account?| Vanguard
193|168|Retirement Plan. Our retirement plan for US employees is with Vanguard. 37signals matches 100% of what you contribute, up to 6% of your salary. You are eligible to enroll in the 401K plan with your first paycheck. If you're outside the US, 37signals will match what you contribute to a retirement account in your home country, up to 6% of your salary. In these cases, 37signals will pay you directly via your monthly invoice. Its up to you to invest that payment and maintain administration of the retirement account and its taxes. You may be asked to provide documentation to support your request for a match.|Up to what percentage of your salary is a 401k contribution allowed by Vanguard?| 6%
194|169|Flexible Spending Account (FSA). The FSA is an account where you can set aside pre-tax money for out-of-pocket medical expenses, such as prescriptions, over-the-counter medicine, vision care, etc. You have to decide up front how much money you want to put in the account, and the max is $3,050/year. There is a separate type of FSA for dependent care, and the max for that plan is $5,000/year or $2,500/year if you split this with a partner. This is an entirely optional program. Open enrollment is in December every year, with new coverage beginning January 1. Both FSAs are with Paychex, our payroll provider.|Flexible Spending Account gives you the option to set aside money for what kind of expenses?| $3,050/year
195|170|Paid Time Off. Vacation Time. 37signals offers 18 days of paid time off plus 11 local holidays every year. We ask that you track your time off. Your vacation time is prorated based on your start date during your first year at 37signals. Your vacation time rolls over year to year with a maximum bank of 27 days at any time. If you are terminated or resign from 37signals with vacation days in your bank, youll be paid the monetary equivalent for those unused days (prorated at the time of your departure).|Paid time off will last for the entire duration of the month in the same amount as the current day?| 18 days
196|170|Paid Time Off. Vacation Time. 37signals offers 18 days of paid time off plus 11 local holidays every year. We ask that you track your time off. Your vacation time is prorated based on your start date during your first year at 37signals. Your vacation time rolls over year to year with a maximum bank of 27 days at any time. If you are terminated or resign from 37signals with vacation days in your bank, youll be paid the monetary equivalent for those unused days (prorated at the time of your departure).|If you are terminated or resign from 37signals with vacation days in your bank, what will you be paid for?| 27 days
197|171|Sabbatical. In addition to annual PTO and holidays, every three years employees may take a 30-day paid sabbatical. Give your team a heads-up preferably three months in advance so they can coordinate. If youre terminated or resign from 37signals with an unused sabbatical, 37signals will pay you the monetary equivalent of those unused days only if your unused sabbatical was earned within the previous 12 months.|Do employees take paid sabbatical days?| 30-day
198|171|Sabbatical. In addition to annual PTO and holidays, every three years employees may take a 30-day paid sabbatical. Give your team a heads-up preferably three months in advance so they can coordinate. If youre terminated or resign from 37signals with an unused sabbatical, 37signals will pay you the monetary equivalent of those unused days only if your unused sabbatical was earned within the previous 12 months.|Give your team a heads up for what period of time?| three months
199|172|Sick Time. We dont offer a bank of sick days nor do we ask you to track your sick days. However if youre unexpectedly away from work due to illness or injury for more than 5 consecutive work days, youll transition from sick time to Personal Leave. 37signals does not pay out for unused sick time upon resignation or termination, since we have no sick time bank.|If you are sick, what day do you have to leave work?| 5
200|172|Sick Time. We dont offer a bank of sick days nor do we ask you to track your sick days. However if youre unexpectedly away from work due to illness or injury for more than 5 consecutive work days, youll transition from sick time to Personal Leave. 37signals does not pay out for unused sick time upon resignation or termination, since we have no sick time bank.|If you are unhappy with your job and decide to leave the industry, what other option is available?| Personal Leave
201|173|Your manager will check in with you if youre consistently taking 3+ unplanned sick days per month. Excessive use of sick time may result in disciplinary measures. If you have a medical condition you know will take you away from work regularly, please work with your manager for accommodations. Personal Leave|Excessive use of sick time may result in disciplinary measures. If you have a medical condition you know will take you away from work regularly, please work with your manager for accommodations.| 3+
202|173|Your manager will check in with you if youre consistently taking 3+ unplanned sick days per month. Excessive use of sick time may result in disciplinary measures. If you have a medical condition you know will take you away from work regularly, please work with your manager for accommodations. Personal Leave|If you are taking sick time, what can you do to prevent yourself from taking it?| disciplinary measures
203|174|If you are unable to work for more than 1 week because of illness or injury, let your manager know as soon as you can. You can take four weeks off at 100% pay. If after 4 weeks, youre still unable to work, your salary will drop to 70% for an additional 8 weeks. Your medical insurance will remain in force throughout your Leave. If after 12 weeks, you still cannot work, talk to your manager, and we will discuss what comes next on a case-by-case basis. You may be asked to provide medical documentation to support your request for Personal Leave, and Personal Leave is limited to one instance of paid leave per 12-month period.|If you are unable to work for more than 4 weeks because of illness or injury, let your manager know as soon as you can.| four weeks
204|174|If you are unable to work for more than 1 week because of illness or injury, let your manager know as soon as you can. You can take four weeks off at 100% pay. If after 4 weeks, youre still unable to work, your salary will drop to 70% for an additional 8 weeks. Your medical insurance will remain in force throughout your Leave. If after 12 weeks, you still cannot work, talk to your manager, and we will discuss what comes next on a case-by-case basis. You may be asked to provide medical documentation to support your request for Personal Leave, and Personal Leave is limited to one instance of paid leave per 12-month period.|If you are unable to work for more than one week because of illness or injury, let your manager know as soon as you can.| 100%
205|175|Summer Hours. We work 4-day work weeks from May 1 through August 31 every year. An employee who has just been hired may have to complete a training program per their team lead to be eligible. When a holiday occurs during summer hours, you can take the holiday off or your normal summer day off. Any additional days off would count as vacation days.|Summer hours are usually 2-5 days long.| 4-day
206|175|Summer Hours. We work 4-day work weeks from May 1 through August 31 every year. An employee who has just been hired may have to complete a training program per their team lead to be eligible. When a holiday occurs during summer hours, you can take the holiday off or your normal summer day off. Any additional days off would count as vacation days.|On what days does Summer Hours begin?| May 1 through August 31
207|177|Scheduling Time Off. 37signals doesn't have a formal time off request process. It's your responsibility to work with your manager and team to ensure coverage and manage your scheduled workload. The sooner you can inform your manager and team of your planned absence, the better, especially longer absences like sabbatical or long vacations. If your team has a defined process for scheduling time off, please follow that first.|If you are unhappy with your schedule, what is the best way to handle it?| manager and team
208|178|The only time we ask you not to schedule discretionary time off is during a CODE. At 37signals, we assign a CODE when urgent work needs to be done. We have three levels of criticality. A CODE RED is an emergency, a CODE YELLOW is less immediate but still critical, and a CODE LAUNCH is called when were in the final stages of launching a new product. If were in the midst of one of these and you can delay your vacation or sabbatical until after the code has ended, please do.|If you are not sure what needs to be done during the code, please ask for it during a code time off.| work needs to be done
209|178|The only time we ask you not to schedule discretionary time off is during a CODE. At 37signals, we assign a CODE when urgent work needs to be done. We have three levels of criticality. A CODE RED is an emergency, a CODE YELLOW is less immediate but still critical, and a CODE LAUNCH is called when were in the final stages of launching a new product. If were in the midst of one of these and you can delay your vacation or sabbatical until after the code has ended, please do.|Levels of criticality are for emergencies, codes, and LAUNCHs.| three
210|180|Some states require us to provide additional benefits. Bereavement Leave. When you lose a loved one, you can take paid time off from work for bereavement, making arrangements, settling family affairs, and attending the funeral or memorial service. Let your manager know your plans as soon as you can so they can arrange for your absence.|When you lose a loved one, you can take paid time off from work for bereavement, making arrangements, settling family affairs, and attending funeral or memorial service.| Bereavement Leave
211|180|Some states require us to provide additional benefits. Bereavement Leave. When you lose a loved one, you can take paid time off from work for bereavement, making arrangements, settling family affairs, and attending the funeral or memorial service. Let your manager know your plans as soon as you can so they can arrange for your absence.|When do you have to take a Bereavement leave?| time off
212|181|You can take ten days of bereavement leave for the death of a spouse or partner, child or child-in-law, parent or parent-in-law, or sibling or sibling-in-law. You can take three days of bereavement leave for the death of a grandparent, niece or nephew, cousin, or close friend. These caps are not to say you must return to work after so many days; you can use any of your available vacation time if you find you need more time off after bereavement leave. And if you know youll be away from work for much longer than outlined above, please talk to your manager to discuss that special case.|For the death of a spouse or partner, child or child-in-law, parent or sibling, parent or sibling-in-law, or sibling-in-law, you can take two days of leave for the death of the person you| ten days
213|181|You can take ten days of bereavement leave for the death of a spouse or partner, child or child-in-law, parent or parent-in-law, or sibling or sibling-in-law. You can take three days of bereavement leave for the death of a grandparent, niece or nephew, cousin, or close friend. These caps are not to say you must return to work after so many days; you can use any of your available vacation time if you find you need more time off after bereavement leave. And if you know youll be away from work for much longer than outlined above, please talk to your manager to discuss that special case.|For what amount of leave does a parent have for the death of a spouse or partner?| three days
214|183|Pet Insurance. For your fur babies! 37signals doesnt contribute to this plan at all, but everyone gets a 10% discount on this insurance you might otherwise buy. There are no set rates, and you can visit our portal on Figos website to get your quote and sign up. Theres no open enrollment period to sign up for pet insurance.|What does Pet Insurance give to people that buy pet insurance?| 10% discount
215|184|Employee Profit Sharing. 37signals shares 10% of its annual company profits with employees, which is distributed in shares based on tenure. Profits are distributed after the books are closed on the previous fiscal year, usually around March (e.g. 2022 profits distributed in March 2023). Youre eligible to participate in profit sharing after two years of working at 37signals. Youll accrue one share per month starting on your second anniversary at 37signals, and youll max out your shares at 10 years. We calculate shares based on months of tenure so theres no unfair cliff between being hired in December vs January.|How much of the profits are distributed in shares based on tenure?| 10%
216|184|Employee Profit Sharing. 37signals shares 10% of its annual company profits with employees, which is distributed in shares based on tenure. Profits are distributed after the books are closed on the previous fiscal year, usually around March (e.g. 2022 profits distributed in March 2023). Youre eligible to participate in profit sharing after two years of working at 37signals. Youll accrue one share per month starting on your second anniversary at 37signals, and youll max out your shares at 10 years. We calculate shares based on months of tenure so theres no unfair cliff between being hired in December vs January.|How long does it take to accrue a share of profit sharing in the US?| two years
217|185|We ask that you think of any compensation from this program as not something to be counted upon, not something to be budgeted with, but as a true bonus. Year to year, profits and therefore the amount were able to share with employees may swing wildly or not be paid out at all.|If profits are not counted as something that can be used to pay for the year, what is the incentive to do this?| a true bonus
218|186|This Program does not have any set expiration date, but the company reserves the right to amend it or cancel it at any time. You forfeit your shares in the profit sharing program if you resign or are terminated from 37signals before the distribution date. Employee Liquidity Pool. There are no plans to sell 37signals or take the company public! But, in the slight chance of that happening, employees may be eligible to receive a portion of 10% of the value of the company if 37signals is sold or made public. That 10% would be divided into shares, and shares distributed amongst employees based on their tenure at the time of the sale/offering.|There are no plans to sell 37signals or take the company public!| Employee Liquidity Pool
219|187|Employees are eligible for shares in the liquidity pool after two years of working at 37signals. Youll accrue one share per month starting on your second anniversary, and you max out your shares after 10 years. We calculate shares based on months of tenure so theres no unfair cliff between being hired in December vs January.|If you are hired in December, what is the average number of months of tenure?| 10 years
220|188|This Program does not have any set expiration date, but the company reserves the right to amend it or cancel it at any time. You forfeit your shares in the liquidity pool if you resign or are terminated from 37signals before the distribution date. Employee Gifts. At the end of every year, 37signals gives a thank-you gift to employees. The gift changes year to year and is not intended to be a year-end bonus.|Employees receive what when they receive their job title?| thank-you gift
221|189|Employees also receive a thank-you gift on their anniversaries with the company. Home Office Set-up. Since you work remotely, we want to make sure your home office is comfortable. During your first year at 37signals, you can expense up to $2,000 on things like a new desk, new desk chair, or other office furniture. This benefit expires on your first anniversary with the company.|What is the cost of a new office chair for a 37signals employee?| $2,000
222|190|Coworking Space Stipend. You can expense up to $200/month towards renting coworking space in your city. Please make sure youre using a true coworking space thats meant solely for working, not a club or social space like Soho House.. Everyone at 37signals has a subscription to Deskpass, a co-working desk reservation service. You can use Deskpass to find co-working spaces near you, and your $200/month benefit is pre-fixed in your account. You're not required to use Deskpass to use your co-working space benefit. Your Deskpass budget is capped at $200/mo, but none of that gets paid out unless you book a desk.|Do you have to pay $200/month for a co-working space near you?| Deskpass
223|191|Expense Account. All staff carries a 37signals Visa card that you can use for work expenses like the benefits described above, software, computer equipment, meet-up travel, or office supplies. Check with your manager or Andrea if you have any doubts about whether or not a purchase qualifies as a work expense.|What does the employee carry?| 37signals Visa card
224|192|We use an expense management platform called Airbase. You're responsible for the monthly categorizing of your expenses and uploading receipts for purchases over $75. Full instructions on how to log your expenses in Airbase can be found in Basecamp. Overall, we trust our employees to spend money wisely. If youre booking a meet-up flight, you dont need to buy the cheapest, 2-layover redeye; buy the convenient, well-priced seat. If youre attending a conference on behalf of 37signals, well buy your meals. Just try to stay away from caviar and champagne at dinner (okay, maybe once if you have a great day to celebrate).|Airbase is used by people who want to keep track of their expenses and upload receipts for purchases over $75.| Airbase
225|192|We use an expense management platform called Airbase. You're responsible for the monthly categorizing of your expenses and uploading receipts for purchases over $75. Full instructions on how to log your expenses in Airbase can be found in Basecamp. Overall, we trust our employees to spend money wisely. If youre booking a meet-up flight, you dont need to buy the cheapest, 2-layover redeye; buy the convenient, well-priced seat. If youre attending a conference on behalf of 37signals, well buy your meals. Just try to stay away from caviar and champagne at dinner (okay, maybe once if you have a great day to celebrate).|If you are booking a meet-up flight, you do not need to buy the cheapest, 2-layover redeye.| Basecamp
226|193|Speaking of conferences please limit your attendance at professional conferences to once a year. Dont extend your hotel stay too far to either side of the conference schedule; you should be traveling specifically to attend the conf. Our conference budget guidelines mirror our mini meet-up budget guidelines; you can find those in Basecamp.|Basecamp is located in San Diego County, where hotels are located in San Diego and elsewhere in the United States.| Basecamp
227|195|Junior Designer. Work is thoroughly reviewed with substantial back-and-forth. Works primarily on tightly scoped, single element, routine problems with another designer. Follows existing design patterns, works within our existing look and feel. Usually less than 2 years of experience being a professional designer. WEB: Can write basic HTML/CSS with guidance. MOBILE: Can create prototypes w/ static screens.|Work is thoroughly reviewed with substantial back-and-forth. Works primarily on tightly scoped, single element, routine problems with another designer. Work is mainly on scoped, single element, routine problems with another designer.|Junior Designer
228|195|Junior Designer. Work is thoroughly reviewed with substantial back-and-forth. Works primarily on tightly scoped, single element, routine problems with another designer. Follows existing design patterns, works within our existing look and feel. Usually less than 2 years of experience being a professional designer. WEB: Can write basic HTML/CSS with guidance. MOBILE: Can create prototypes w/ static screens.|Do you have experience with designing for mobile?| less than 2 years
229|196|. Designer. Work is reviewed with the occasional need for material direction or implementation changes. Works mostly on tightly scoped features, individual screens, or small problems with another designer. Usually at least 2-5 years of experience being a professional designer. WEB: Fully capable of writing modern HTML/CSS. MOBILE: Can create basic prototypes demonstrating interactions and animations.|Do most designers have experience with HTML/CSS| least
230|196|. Designer. Work is reviewed with the occasional need for material direction or implementation changes. Works mostly on tightly scoped features, individual screens, or small problems with another designer. Usually at least 2-5 years of experience being a professional designer. WEB: Fully capable of writing modern HTML/CSS. MOBILE: Can create basic prototypes demonstrating interactions and animations.|Do designers expect to work on a lot of small issues| 2-5 years
231|197|. Senior Designer. Work doesnt necessarily need to be reviewed, but general approach may be. Can run point on small batch projects, taking them from concept to shipping as the sole designer (alongside a programmer). Can occasionally run point on large batch projects, sometimes with assistance. Usually at least 5-8 years of experience being a professional designer.|Work does not need to be reviewed but general approach may be. Can run point on small batch projects, taking them from concept to shipping as the sole designer?| Senior Designer
232|197|. Senior Designer. Work doesnt necessarily need to be reviewed, but general approach may be. Can run point on small batch projects, taking them from concept to shipping as the sole designer (alongside a programmer). Can occasionally run point on large batch projects, sometimes with assistance. Usually at least 5-8 years of experience being a professional designer.|Experience being a professional designer| 5-8 years of
233|198|WEB: Fully capable of writing modern HTML/CSS and basic proficiency in Javascript. MOBILE: Can create detailed interactive prototypes demonstrating flows, interactions, and animations. Lead Designer. Work happens completely autonomously without regular need for review. Can run point on large batch projects, taking them from concept to shipping as the sole designer (alongside a programmer).|Lead Designer is what?| Lead Designer
234|199|Can lead a small department or longer-term initiative. Helps set and maintain professional standards for the entire organization. Makes regular, material contributions to the look-and-feel of our general aesthetic and brand. Usually at least 8-12 years of experience being a professional designer. Typically at least 3-5 years experience at Basecamp internalizing how we work.|Typically at least 3-5 years experience at Basecamp internalizing how we work.| 8-12 years
235|199|Can lead a small department or longer-term initiative. Helps set and maintain professional standards for the entire organization. Makes regular, material contributions to the look-and-feel of our general aesthetic and brand. Usually at least 8-12 years of experience being a professional designer. Typically at least 3-5 years experience at Basecamp internalizing how we work.|How many years of experience does a designer have working with the public?| 3-5
236|200|WEB: Fully capable of writing modern HTML/CSS/JS + the ability to make moderate progress in Rails. MOBILE: Can create detailed interactive prototypes demonstrating flows, interactions, and animations. Principal Designer. Can run point on our most complex, critical, big batch projects, taking them from concept to shipping as the sole designer (alongside one or more programmers).|Can run point on a large batch of projects that will take them from concept to shipping?| Principal Designer
237|201|Usually at least 12-15+ years of experience being a professional designer. Typically at least 5-7 years experience at Basecamp internalizing how we work. WEB: Fully capable of writing their own HTML/CSS/JS + the ability to make significant progress in Rails. WEB: Can spin up new Rails apps from scratch, and make initial progress without outside help.|At least 5 years experience at Basecamp internalizing how we work.| 12-15+ years
238|202|Usually at least 12-15+ years of experience being a professional designer. Typically at least 5-7 years experience at Basecamp internalizing how we work. WEB: Fully capable of writing their own HTML/CSS/JS + the ability to make significant progress in Rails. WEB: Can spin up new Rails apps from scratch, and make initial progress without outside help.|At least 5 years experience at Basecamp internalizing how we work.| 5-7 years
239|203|MOBILE: Can create detailed interactive prototypes demonstrating flows, interactions, and animations. MOBILE: Can work in native environments and put together their own app from scratch.|MOBILE: Can create detailed interactive prototypes demonstrating flows, interactions, and animations. MOBILE: Can create detailed interactive prototypes demonstrating flows, interactions, and animations?| native environments
240|205|Your First Few Days. Before you start, Andrea will order you a new laptop with the specs you request and any accessories you need like an external keyboard, mouse, or display. Get what you need, while keeping in mind the demands of your work when choosing specs. A day or two before you start, your manager will email you instructions for your first day. Your manager will be your point of contact for your early projects and activities. You'll also work with a member of our Ops team who will help you as you set up all the accounts you need to work at 37signals. |Before you start, will you order a new laptop?| Andrea
241|206|Your First Few Days. Before you start, Andrea will order you a new laptop with the specs you request and any accessories you need like an external keyboard, mouse, or display. Get what you need, while keeping in mind the demands of your work when choosing specs. A day or two before you start, your manager will email you instructions for your first day. Your manager will be your point of contact for your early projects and activities. You'll also work with a member of our Ops team who will help you as you set up all the accounts you need to work at 37signals. |Who will help you with your first day?| Ops team
